CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CCN1C(C)=C(C)N(CC)[C+]1[Re-]([O-])([Cl])([C+]1N(CC)C(C)=C(C)N1CC)([C+]1N(CC)C(C)=C(C)N1CC)[C+]1N(CC)C(C)=C(C)N1CC	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 3 5 10
CCN1C(C)=C(C)N(CC)[C+]1[Re-]([O-])([Cl])([C+]1N(CC)C(C)=C(C)N1CC)([C+]1N(CC)C(C)=C(C)N1CC)[C+]1N(CC)C(C)=C(C)N1CC	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 3 5 10
[O+]#[C][Ir-3]1([C]#[O+])[N+]2=CC=CN2CN2C=CC=[N+]21	chelate_all_configs_failed	square_planar
CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
[Br][Hg-4]1([Br])[O][N+]2=CC=CC=C2C2=CC=CC=[N+]2[O]1	chelate_all_configs_failed	tetrahedron
CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
[CH3][Ni-2]1([CH3])[NH2+]CC2=CC=CC=[N+]21	chelate_all_configs_failed	square_planar
[O+]#[C][Re-6]12([C]#[O+])([C]#[O+])[Te+](I)(I)I([Te+]1(I)I)[Te+]2(I)I	chelate_all_configs_failed	octahedron
CC[S+]1CC[NH+]2CC[S+](CC)[Rh-3]21[C]#[O+]	chelate_all_configs_failed	square_planar
CC(C)C1=CC=CC(C(C)C)=C1[N]([Cr]([I])[N](C1=C(C(C)C)C=CC=C1C(C)C)[Si](C(C)C)(C(C)C)C(C)C)[Si](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=3 geom=SP-3 trigonal planar
C[N+]12CC[N+]3(C)CC[N+](C)(CC1)[Y-3]23([CH3])([CH3])[CH3]	chelate_all_configs_failed	octahedron
CN=[NH+][W-4]([C]#[O+])([C]#[O+])([N]=O)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
