C[Si](C)(C)N(C(=N[P+](C1=CC=CC=C1)(C1=CC=CC=C1)[Mn-5]([Br])([C]#[O+])([C]#[O+])([C]#[O+])[C]#[O+])C1=CC=CC=C1)[Si](C)(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
C[Si](C)(C)N(C(=N[P+](C1=CC=CC=C1)(C1=CC=CC=C1)[Mn-5]([Br])([C]#[O+])([C]#[O+])([C]#[O+])[C]#[O+])C1=CC=CC=C1)[Si](C)(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[C+]12->[Ru-7]34567([Cl])(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[N+]1=CC=CC=C1C1=[N+]7C2=CC=CC=C2N1CC1=CC=C(C(F)(F)P(=O)([O-])O)C=C1	chelate_all_configs_failed	tetrahedron
CC(=O)[C]1=CC2=CC=CC=[N+]2[Ir-3]1([CH3])([Cl])([C]#[O+])[P+](C)(C)C	chelate_all_configs_failed	octahedron
[Cl][Ni-2]([Cl])([PH+](C1CCCCC1)C1CCCCC1)[PH+](C1CCCCC1)C1CCCCC1	self_gate_failed	cn=4 geom=SP-4 square planar
CC1=CC=CC(C)=C1N=C([O][Ti-2]12([N](C)C)([O]C(C3=CC=CC=C3)=[N+]1C1=C(C)C=CC=C1C)[O]C(C1=CC=CC=C1)=[N+]2C1=C(C)C=CC=C1C)C1=CC=CC=C1	chelate_all_configs_failed	octahedron
CCOC(=O)C(C)[NH+]1CC[NH+](C(C)C(=O)OCC)[Pt-2]1([Cl])([Cl])([Cl])[Cl]	chelate_all_configs_failed	octahedron
CC[P+](CC)(CC)[Pt-4]1([P+](CC)(CC)CC)[Sb+]([C](=O)C(C)(C)C)=[Sb+]1[C](=O)C(C)(C)C	f1_structqual_rejected	extra_fragments(3 comps, sizes=[2, 1, 1])
CC[P+](CC)(CC)[Pt-4]1([P+](CC)(CC)CC)[Sb+]([C](=O)C(C)(C)C)=[Sb+]1[C](=O)C(C)(C)C	chelate_all_configs_failed	square_planar
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[FeH-4]([C]#[O+])([C]#[O+])([C]#[O+])[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[FeH-4]([C]#[O+])([C]#[O+])([C]#[O+])[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[FeH-4]([C]#[O+])([C]#[O+])([C]#[O+])[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[FeH-4]([C]#[O+])([C]#[O+])([C]#[O+])[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[FeH-4]([C]#[O+])([C]#[O+])([C]#[O+])[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC1=CC2=C(C=C1C)[N]1C(=O)C3=CC=CC=[N+]3[Ru-2]13([OH])([N]=O)[N]2C(=O)C1=CC=CC=[N+]13	chelate_all_configs_failed	octahedron
C[P+]1(C)CCC[P+](C)(C)[Rh-3]12([Cl])([Cl])[P+](C)(C)CCC[P+]2(C)C	chelate_all_configs_failed	octahedron
CC1C(=O)[O][Nb-3]23456([O]C(=O)C(C)[N+]12[O]3)[O]C(=O)C(C)[N+]4([O]5)C(C)C(=O)[O]6	chelate_all_configs_failed	square_antiprism
[O+]#[C][W-6]([C]#[O+])([C]#[O+])([C]#[O+])([C]#[O+])[P+]1=C(C(F)(F)F)C(C(F)(F)F)=NN1C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[Cl][Pt-2]12[N+]3=C4C=CC=C3C[S+]1CCOCC[S+]2C4	chelate_all_configs_failed	square_planar
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[I][Cd-2]1([I])[S+]=C(N2CCCC2)SSC(N2CCCC2)=[S+]1	chelate_all_configs_failed	tetrahedron
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[Cl][Re-4]([Cl])([Cl])([I])([N+]#C[Se])[N+]#C[Se]	self_gate_failed	cn=6 geom=OC-6 octahedron
[Cl][Re-4]([Cl])([Cl])([I])([N+]#C[Se])[N+]#C[Se]	self_gate_failed	cn=6 geom=OC-6 octahedron
[Cl][Re-4]([Cl])([Cl])([I])([N+]#C[Se])[N+]#C[Se]	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
C1C[S+]2CC[S+]3CC[S+]1[Hg-4]2314[S+]2CC[S+]1CC[S+]4CC2	chelate_all_configs_failed	octahedron
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[P+](C)(C(C)(C)C)[Ru-3]([Cl])([C]#[O+])([C]1=CC=CC=C1)[P+](C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[Cl][Os-7]123456(<-[C+]7(C8=CC=CC=C8)[C+]1[C+]2[C+]3[C+]4[C+]75)[NH2+]CC[NH2+]6	chelate_all_configs_failed	tetrahedron
C[C+]12->[Hf-8]3456789([Cl])([Cl])(<-[CH]1=[P+]3[C+]->4(C1=CC=CC=C1)[C+]->52C)<-[CH]1=[P+]6[C+]->7(C2=CC=CC=C2)[C+]->8(C)[C+]->91C	no_geometry_for_cn	metal=Hf cn=12
CC(C)C1=CC(C(C)C)=C(C2=CC=CC(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)=[C]2[Sn]2([Cl])[C]3=CC=CC=C3[P](C3=CC=CC=C3)(C3=CC=CC=C3)[Ir]2345[C]2=[C]3CC[C]4=[C]5CC2)C(C(C)C)=C1	chelate_polya_no_configs	tshape
CN1C=NN2CN3N=CN(C)[C+]3[W-6]([C]#[O+])([C]#[O+])([C]#[O+])([C]#[O+])[C+]12	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+]2C3=CC=CC=C3[N+]3=C(C)C=C(C)[N]4C5=CC=CC=C5[N]1[Co-2]423[I]	chelate_all_configs_failed	trigonal_bipyramid
[CH3][Pd-]([P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C	self_gate_failed	cn=3 geom=T-3 T-shape
CC1(C)CCC(C)(C)C2=N[N+]3=C(N=C21)C1=CC=C2C=CC4=CC=C5C6=NC7=C(N=[N+]6[Y-7]3689%10([O][N+](=O)[O]6)([O][N+](=O)[O]8)([O][N+](=O)[O]9)[N+]5=C4C2=[N+]1%10)C(C)(C)CCC7(C)C	geom_not_in_polya_groups	BICAP-10 bicapped square antiprism
CC(C)(C)[NH+]1[C+]2->[Nb-5]13([Cl])([Cl])([Cl])(<-[C+]=2[NH+]3C(C)(C)C)[O+]1CCCC1	f1_structqual_rejected	extra_fragments(2 comps, sizes=[16, 1])
[O+]#[C][Mo-6]([C]#[O+])([C]#[O+])([C]#[O+])([C]#[O+])[N+]12CN3CN(CN(C3)C1)C2	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)(C)N1CC[N]2C1=[O+][Ta-]2([Cl])([CH2][Si](C)(C)C)([CH2][Si](C)(C)C)[CH2][Si](C)(C)C	chelate_all_configs_failed	octahedron
C[CH2][Ru-7]123456([C+]7[C+]1[C+]2[C+]3[C+]4[C+]75)[N](C(C)(C)C)C(C1=CC=CC=C1)=[N+]6C(C)(C)C	chelate_all_configs_failed	tetrahedron
C[N+]1(C)CC[N+](C)(C)[Ni-4]12([Cl])([Cl])[N+](C)(C)CC[N+]2(C)C	chelate_all_configs_failed	octahedron
CC(C)C1=CC=CC(C(C)C)=C1[N-][V]([CH-][Si](C)(C)C)([O]C1=C(F)C(F)=C(F)C(F)=C1F)([P+](C)(C)C)[P+](C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)(C)[N+](=O)[Pt-2]1([Cl])[CH2]C=[N+](C(C)(C)C)[O]1	chelate_all_configs_failed	square_planar
CC(C)[C+]12->[Ru-6]34567(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[C-](P(=NP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)(C1=CC=CC=C1)=[N+]7P(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1	ligand_too_large	nheavy=61 denticity=2 cap=30
CC(C)C1=CC=CC(C(C)C)=C1[N-][V]([CH-][Si](C)(C)C)([O]C1=C(F)C(F)=C(F)C(F)=C1F)([P+](C)(C)C)[P+](C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[O+]#[C][Ir-4]12([Cl])([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[N]=[S]N=[SH+]1N=[S]N=[S+]2	chelate_all_configs_failed	octahedron
C[N+]1(C)CC[N+](C)(C)[Ni-2]12[S]C1=NSN=C1[S]2	chelate_all_configs_failed	square_planar
C[C+]12->[Ru-7]34567([Cl])(<-[C+]1(C)[C+]3[C+]4[C+]5[C+]26)[C]1=CC=CC2=CC=CC(=C21)[P+]7(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	tetrahedron
NC1=[O+][Ni-3]23([Cl])[O+]=C(N)C[NH+]2CCC[NH+]3C1	chelate_all_configs_failed	trigonal_bipyramid
C1=CC=C([P+]2(C3=CC=CC=C3)C3=CC=CC4=C3C3(CCC5=CC=CC(=C53)[NH2+][IrH2-3]23[NH2+]C2=CC=CC5=C2C2(CCC6=CC=CC(=C62)[P+]3(C2=CC=CC=C2)C2=CC=CC=C2)CC5)CC4)C=C1	chelate_all_configs_failed	octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[P+]1(C(C)C)C=C[N+]2(C)CC[P+](C(C)C)(C(C)C)[RuH-4]21([O]S(=O)(=O)C(F)(F)F)[P+](C)(C)C	chelate_all_configs_failed	octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][Re-5]([C]#[O+])([C]#[O+])([C]#[O+])([C]#[O+])[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC[P+](CC)(CC)[Ir-3]1([P+](C)(C)C)([P+](C)(C)C)([P+](C)(C)C)[CH]=C(C)C=C(C)[CH2]1	chelate_all_configs_failed	octahedron
CC(C)[P+](C(C)C)(C(C)C)[OsH]([OH2+])([OH2+])([C-2]C=C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C1C2=CC=CC=C2C(=O)[N]1[Pd-2]1([P+]23CN4CN(CN(C4)C2)C3)[C]2=CC=CC=C2C2=CC=CC=[N+]21	chelate_all_configs_failed	square_planar
CC[B-]12[H+][Y-10]3456789([O+]%10CCCC%10)(<-[C+]1(C)[H+]3)(<-[C+]2(C)[H+]4)(<-[C+](C)([H+]5)[B-](CC)([H+]6)[C+]->7(C)[H+]8)[N](C(C)C)C(N([Si](C)(C)C)[Si](C)(C)C)=[N+]9C(C)C	cn_out_of_range	cn=13
C[P+]1(C)CC[P+](C)(C)[W-7]12([C]#[O+])([C]#[O+])([C]#[O+])[C+]=[S+]2	chelate_all_configs_failed	pentagonal_bipyramid
OC[P+]1(CO)CC[P+](CO)(CO)[Ru-4]12([Cl])([Cl])[P+](CO)(CO)CC[P+]2(CO)CO	chelate_all_configs_failed	octahedron
CC(C)(C)[C]1=P[N](C(C)(C)C)[Ti]12[N]([Si](C)(C)C)CC(C)(C1=CC=CC=N1)C[N]2[Si](C)(C)C	chelate_all_configs_failed	tetrahedron
CC(C)C1=CC(C(C)C)=C(C2=CC=CC(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)=C2[NH][Ti-6]234567<-[C+]8(C(C)C)[C+]2[C+]->3(C(C)C)[C+]->4(C2=CC=CC(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)=C2[NH]5)[C+]->6(C(C)C)[C+]87)C(C(C)C)=C1	hyperdentate_nonhapto	denticity=7
CC1=CC(C)=[N+](C2=C(C(C)C)C=CC=C2C(C)C)[Sc-3]23([NH]C4=C(C(C)C)C=CC=C4C(C)C)([S]C=[N+]2C2=CC=CC=C2)[N]1CC[N+]3(C)C	chelate_all_configs_failed	octahedron
C[C+]12->[Co-11]3456789%10%11(<-[C+](C)([C+]13)[C+]4[C+]->5(C)[C+]26)<-[C+]1(C)[C+]7[C+]->8(C)[C+]9[C+]->%10(C)[C+]1%11	no_geometry_for_cn	metal=Co cn=12
[O+]#[C][Mn-5]1([Br])([C]#[O+])([C]#[O+])[OH+]CC2=CC=CC=[N+]21	chelate_all_configs_failed	octahedron
[O+]#[C][Ru-4]([OH2+])([OH2+])([OH2+])([OH2+])[OH2+]	self_gate_failed	cn=6 geom=OC-6 octahedron
CSCC[N+]12CC[S][Ni-2]1([C]#N)[S](=O)(=O)CC2	chelate_all_configs_failed	square_planar
[Cl][Os-7]123456(<-[C+]78CC9=C(CC=CC9)C[C+]->17[C+]2[C+]3[C+]4[C+]85)[NH2+]CC[NH2+]6	chelate_all_configs_failed	tetrahedron
C[P+](C)(C)[Fe-9]123456(<-[C+](=[C+]1)[C+]->2=[C+]3)<-[C+](=[C+]4)[C+]->5=[C+]6	self_gate_failed	cn=3 geom=SP-3 trigonal planar
ClC1CC2[C+]3->[Pt-4]4([Cl])([CH2]C2C1[C+]->4=3)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	octahedron
C[P+](C)(C1=CC=CC=C1)[Re]12([O-])[S]CC[N]1C(=O)C[S]2	f1_structqual_rejected	extra_fragments(2 comps, sizes=[17, 2])
CC#[N+][Re-8]12345([C]#[O+])([N+]#CC)[C+]6[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CC#[N+][Re-8]12345([C]#[O+])([N+]#CC)[C+]6[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CC#[N+][Re-8]12345([C]#[O+])([N+]#CC)[C+]6[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CC#[N+][Re-8]12345([C]#[O+])([N+]#CC)[C+]6[C+]1[C+]2[C+]3[C+]4[C+]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
O=[N+]1[O][Cu-6]234([O]1)([O][N+](=O)[O]2)([O][N+](=O)[O]3)[O][N+](=O)[O]4	chelate_all_configs_failed	square_antiprism
C[N+]1(C)CC2=CC=CC3=[C]2[Pt-2]1([I])[N+](C)(C)C3	chelate_all_configs_failed	square_planar
CC#[N+][Rh-3]([Cl])([Cl])([Cl])([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=C(N2C=CN(C3=C(C)C=C(C)C=C3C)[C+]2[V]([O-])([Cl])([Cl])[Cl])C(C)=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 7 8 19
CC1=CC(C)=C(N2C=CN(C3=C(C)C=C(C)C=C3C)[C+]2[V]([O-])([Cl])([Cl])[Cl])C(C)=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 7 8 19
CC1=CC(C)=C(N2C=CN(C3=C(C)C=C(C)C=C3C)[C+]2[V]([O-])([Cl])([Cl])[Cl])C(C)=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 7 8 19
CC1=CC(C)=C(N2C=CN(C3=C(C)C=C(C)C=C3C)[C+]2[V]([O-])([Cl])([Cl])[Cl])C(C)=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 7 8 19
CC#[N+][Rh-3]([Cl])([Cl])([Cl])([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=C(C)N(C)[C+]([Ni-2]([C]#N)([C]#N)[C+]2N(C)C(C)=C(C)N2C)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
CC1=C(C)N(C)[C+]([Ni-2]([C]#N)([C]#N)[C+]2N(C)C(C)=C(C)N2C)N1C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 1 2 6
CC#[N+][Rh-3]([Cl])([Cl])([Cl])([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=[N+]1[O][Cu-3]23([Cl])([O]1)([O][N+](=O)[O]2)[O][N+](=O)[O]3	f1_structqual_rejected	extra_fragments(2 comps, sizes=[1, 1])
O=[N+]1[O][Cu-3]23([Cl])([O]1)([O][N+](=O)[O]2)[O][N+](=O)[O]3	chelate_all_configs_failed	pentagonal_bipyramid
CN1CCN2CCN(C)[P+]1([Hg-2]([Cl])([Cl])[P+]13N(C)CCN(CCN1C)CCN3C)N(C)CC2	self_gate_failed	cn=4 geom=T-4 tetrahedron
CC1=CC=CC(C)=C1[N]1[Si](C)(C)[N+](C)(C)[Hf-2]12([Cl])([Cl])[N](C1=C(C)C=CC=C1C)[Si](C)(C)[N+]2(C)C	chelate_all_configs_failed	octahedron
CC1=CC(C)=C(N2C=CN(C3CCCCC3)[C+]2[CoH-2]([C+]2N(C3=C(C)C=C(C)C=C3C)C=CN2C2CCCCC2)[SiH](C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 7 8 16
C[Si](C1=CC=CC=C1)(C1=CC=CC=C1)[N]([Cr][N]([Si](C)(C1=CC=CC=C1)C1=CC=CC=C1)[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1)[Si](C)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=2 geom=L-2 linear
CC1=CC=CC(C)=C1NC=[N+]([Au-][Cl])C1=C(C)C=CC=C1C	self_gate_failed	cn=2 geom=L-2 linear
CC[P+]1(CC)CC[NH+]2CC[P+](CC)(CC)[OsH-4]21([Cl])[C]#[O+]	chelate_all_configs_failed	octahedron
CC1=CC=CC(C)=C1[N]1C2=CC=CC=C2[P+](C(C)C)(C(C)C)[Zn-]1[CH3]	chelate_polya_no_configs	trigonal_planar
CCN1C(=O)N(CC)[P+](C2=CC=CC=C2)([RhH-4]([C]#[O+])([P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)[P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)N(CC)C1=O	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
C[P+](C)(C)[Rh-3]1([C]2=CC=CC=C2)([P+](C)(C)C)([P+](C)(C)C)[O]C(=O)[O]1	chelate_all_configs_failed	octahedron
COCC[P+](C(C)C)(C(C)C)[Pd-2]([F])([C]1=C(F)C(F)=NC(F)=C1F)[P+](CCOC)(C(C)C)C(C)C	self_gate_failed	cn=4 geom=SP-4 square planar
CCN1C(=O)N(CC)[P+](C2=CC=CC=C2)([RhH-4]([C]#[O+])([P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)[P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)N(CC)C1=O	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[O+]#[C][Mn-8]12345([Br])([C]#[O+])<-[C+]67CCC[C+]->16[C+]->21CCC[C+]->31[C+]->41CCC[C+]->571	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
[O+]#[C][Mn-8]12345([Br])([C]#[O+])<-[C+]67CCC[C+]->16[C+]->21CCC[C+]->31[C+]->41CCC[C+]->571	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
[O+]#[C][Mn-8]12345([Br])([C]#[O+])<-[C+]67CCC[C+]->16[C+]->21CCC[C+]->31[C+]->41CCC[C+]->571	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
[O+]#[C][Mn-8]12345([Br])([C]#[O+])<-[C+]67CCC[C+]->16[C+]->21CCC[C+]->31[C+]->41CCC[C+]->571	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CCN1C(=O)N(CC)[P+](C2=CC=CC=C2)([RhH-4]([C]#[O+])([P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)[P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)N(CC)C1=O	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
O=C1C[NH+]2CC[NH+]3CC[N+]45CC[NH2+][Co-3]324([NH2+]CC5)[O]1	chelate_all_configs_failed	octahedron
CN1CCN(C)C2=[S+][Cd-3]3([I])([S+]=C21)[S+]=C1C(=[S+]3)N(C)CCN1C	chelate_all_configs_failed	trigonal_bipyramid
CCN1C(=O)N(CC)[P+](C2=CC=CC=C2)([RhH-4]([C]#[O+])([P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)[P+]2(C3=CC=CC=C3)N(CC)C(=O)N(CC)C(=O)N2CC)N(CC)C1=O	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
[O+]#[C][RuH-4]12([O]C3=CC=CC=C3)[NH+](CC[P+]1(C1=CC=CC=C1)C1=CC=CC=C1)CC[P+]2(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	octahedron
[OH2+][Ni-4]12([OH2+])([N]=C=S)[O]C3=CC=CC=C3C=[N+]1CC[N+]21CCOCC1	f1_structqual_rejected	extra_fragments(2 comps, sizes=[22, 1])
[Cl][Rh-6]1234(<-[C+]5=[C+]->1C1CC5[C+]->2=[C+]->31)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1OC1=CC=CC=C1[P+]4(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	pentagonal_bipyramid
[OH2+][Ni-4]12([OH2+])([N]=C=S)[O]C3=CC=CC=C3C=[N+]1CC[N+]21CCOCC1	f1_structqual_rejected	extra_fragments(2 comps, sizes=[22, 1])
CCN1C=CN(C2=CC=CC=C2)[C+]1[Pd-2]([I])([I])[C+]1N(CC)C=CN1C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 3 4 12
CCN1C=CN(C2=CC=CC=C2)[C+]1[Pd-2]([I])([I])[C+]1N(CC)C=CN1C1=CC=CC=C1	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 3 4 12
[Br][Re-]12([Br])([P+](C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)[N-]C3=CC=CC4=CC=CC(=C43)[N+]1=CC1=CC=C[N]12	chelate_all_configs_failed	octahedron
[OH2+][Ni-4]12([OH2+])([N]=C=S)[O]C3=CC=CC=C3C=[N+]1CC[N+]21CCOCC1	f1_structqual_rejected	extra_fragments(2 comps, sizes=[22, 1])
C1=C[N]2[N+](=C1)[BH-]1[N+]3=CC=C[N]3[Re-8]234567([C+]2[C+]3[C+]4[C+]5[C+]6[C+]27)[N]2C=CC=[N+]12	chelate_all_configs_failed	tricapped_trigonal_prism
CC(C)(C)C12[Se]P3C4(C(C)(C)C)P1[Se][Pt-2]1([Cl])([Cl])([P+](C)(C)C)[Se]P2C3(C(C)(C)C)[Se+]41	chelate_all_configs_failed	octahedron
CC(C)(C)[NH+]1[C+]2->[Nb-5]13([Cl])([Cl])([Cl])(<-[C+]=2[NH+]3C(C)(C)C)[O+]1CCCC1	f1_structqual_rejected	extra_fragments(4 comps, sizes=[17, 2, 1, 1])
[I][Ru-7]123456([I])<-[C+]7(CC[P+]1(C1=CC=CC=C1)C1=CC=CC=C1)[C+]2[C+]3[C+]4[C+]5[C+]76	hyperdentate_nonhapto	denticity=7
O=C1[O][Nb-3]234([O][O]2)([O][O]3)([O][O]4)[N+]2=C1C=CC1=CC=CC=C12	chelate_all_configs_failed	square_antiprism
