Compound;SMILES;E_00_calc_adjusted;E_00_exp;delta_E_00_adjusted;E_red_calc_adjusted;E_red_exp;delta_E_red_adjusted;E_ox_calc_adjusted;E_ox_exp;delta_E_ox_adjusted;E_red*_calc_adjusted;E_red*_exp;delta_E_red*_adjusted;E_ox*_calc_adjusted;E_ox*_exp;delta_E_ox*_adjusted
Ir_12;[N]12=CC=CC=C1C(C=CC=C3)=C3[Ir]24([N]5=CC=CC=C5[N+]6=C4C=C(N7CCOCC7)C=C6)([N]8=CC=CC=C89)C%10=C9C=CC=C%10;2,693148148;2,61;0,083148148;-1,702777778;-1,65;-0,052777778;1,214814815;1,23;-0,015185185;1,003888889;0,96;0,043888889;-1,452222222;-1,38;-0,072222222
Ir_13;CN(C)C1=CC([Ir]2(C3=C4C=CC=C3)([N]5=CC=CC=C56)([N]7=CC=CN74)[N]8=CC=CN8C9=C2C=CC=C9)=[N+]6C=C1;2,723148148;2,71;0,013148148;-1,732777778;-1,71;-0,022777778;1,254814815;1,26;-0,005185185;1,003888889;1;0,003888889;-1,442222222;-1,45;0,007777778
Ir_14;CC(C1=CC([Ir]2(C3=C4C=CC=C3)([N]5=CC=CC=C56)([N]7=CC=CC=C74)[N]8=CC=CC=C8C9=C2C=CC=C9)=[N+]6C=C1)(C)C;2,443148148;2,46;-0,016851852;-1,312777778;-1,35;0,037222222;1,314814815;1,37;-0,055185185;1,143888889;1,11;0,033888889;-1,092222222;-0,97;-0,122222222
Ir_15;FC1=CC(F)=CC(C2=[O+][Ir-3]3(n(C(C4=CC(F)=CC(F)=C4)=[O+]5)n2[Ir-3]65([N+]7=C8C=CC=C7)(C9=CC=CC=C98)[N+]%10=CC=CC=C%10C%11=C6C=CC=C%11)([N+]%12=C%13C=CC=C%12)(C%14=CC=CC=C%14%13)[N+]%15=CC=CC=C%15C%16=C3C=CC=C%16)=C1;2,833148148;2,79;0,043148148;-2,062777778;-2,38;0,317222222;0,694814815;0,42;0,274814815;0,773888889;0,38;0,393888889;-2,112222222;-2,34;0,227777778
Ir_16;FC1=CC(F)=CC2=C1C3=CC=CC=[N]3[Ir]4([N]5=CC=CC=C5C6=C4C=C(F)C=C6F)([N]7=CC=CC=C78)2C9=C8C(F)=CC(F)=C9;2,743148148;2,75;-0,006851852;-2,262777778;-2;-0,262777778;1,054814815;1,29;-0,235185185;0,493888889;0,75;-0,256111111;-1,652222222;-1,46;-0,192222222
Ir_17;FC1=CC([Ir]2(C3=C4C=CC(F)=C3)([N]5=CC=CC=C5C6=C2C=C(F)C=C6)([N]7=CC=CC=C74)[N]8=CC=CC=C89)=C9C=C1;2,663148148;2,86;-0,196851852;-2,312777778;-2,18;-0,132777778;0,914814815;0,96;-0,045185185;0,373888889;0,68;-0,306111111;-1,732222222;-1,9;0,167777778
Ir_18;FC(C1=CC([Ir]2(C3=C4C=CC(C(F)(F)F)=C3)([N]5=CC=CC=C56)([N]7=CC=CC=C74)[N]8=CC=CC=C8C9=C2C=C(C(F)(F)F)C=C9)=C6C=C1)(F)F;2,563148148;2,76;-0,196851852;-2,042777778;-2,17;0,127222222;0,994814815;1,06;-0,065185185;0,523888889;0,59;-0,066111111;-1,532222222;-1,7;0,167777778
Ir_19;CC(C)(C)C1=CC=C2[N]([Ir]3(C4=C5C=CC=C4)([N]6=CC(C(C)(C)C)=CC=C65)(C7=C2C=CC=C7)[N]8=CC(C(C)(C)C)=CC=C8C9=C3C=CC=C9)=C1;2,573148148;2,58;-0,006851852;-2,352777778;-2,3;-0,052777778;0,724814815;0,68;0,044814815;0,233888889;0,28;-0,046111111;-1,822222222;-1,89;0,067777778
Ir_20;CC(C)(C)C(C=C1)=CC2=C1[Ir]3(C4=C5C=C(C(C)(C)C)C=C4)([N]6=CC=CC=C62)([N]7=CC=CC=C75)[N]8=CC=CC=C8C9=C3C=CC(C(C)(C)C)=C9;2,503148148;2,52;-0,016851852;-2,312777778;-2,26;-0,052777778;0,654814815;0,6;0,054814815;0,213888889;0,26;-0,046111111;-1,832222222;-1,92;0,087777778
Ir_21;CC(C)(C)C1=CC([Ir]2(C3=C4C=CC(C(C)(C)C)=C3)([N]5=CC=CC=C56)([N]7=CC=CC=C74)[N]8=CC=CC=C8C9=C2C=C(C(C)(C)C)C=C9)=C6C=C1;2,573148148;2,56;0,013148148;-2,362777778;-2,33;-0,032777778;0,704814815;0,6;0,104814815;0,223888889;0,23;-0,006111111;-1,842222222;-1,96;0,117777778
Ir_22;COC(C=C1)=CC2=C1[Ir]3(C4=C5C=C(OC)C=C4)([N]6=CC=CC=C62)([N]7=CC=CC=C75)[N]8=CC=CC=C8C9=C3C=CC(OC)=C9;2,353148148;2,4;-0,046851852;-2,272777778;-2,21;-0,062777778;0,524814815;0,53;-0,005185185;0,083888889;0,19;-0,106111111;-1,802222222;-1,87;0,067777778
Ir_23;COC1=CC([Ir]2(C3=C4C=CC(OC)=C3)([N]5=CC=CC=C56)([N]7=CC=CC=C74)[N]8=CC=CC=C8C9=C2C=C(OC)C=C9)=C6C=C1;2,623148148;2,64;-0,016851852;-2,432777778;-2,34;-0,092777778;0,754814815;0,7;0,054814815;0,203888889;0,26;-0,056111111;-1,842222222;-1,95;0,107777778
Ir_25;FC1=CC=C2[N]([Ir+]3([N]4=C5C=CC=C4)(C6=CC=CC=C65)([N]7=C2C=CC(F)=C7)[N]8=CC=CC=C8C9=C3C=CC=C9)=C1;2,493148148;2,4;0,093148148;-1,352777778;-1,26;-0,092777778;1,414814815;1,4;0,014814815;1,153888889;1,14;0,013888889;-1,052222222;-1;-0,052222222
Ir_26;CC1=C(C)C=C2[N]([Ir+]3([N]4=C5C=CC=C4)(C6=CC=CC=C65)([N]7=C2C=C(C)C(C)=C7)[N]8=CC=CC=C8C9=C3C=CC=C9)=C1;2,583148148;2,59;-0,006851852;-1,542777778;-1,52;-0,022777778;1,284814815;1,28;0,004814815;1,053888889;1,07;-0,016111111;-1,272222222;-1,31;0,037777778
Ir_27;NC(C=C1)=CC2=[N]1[Ir+]3([N]4=C5C=CC=C4)([N]6=CC=C(N)C=C62)(C7=CC=CC=C75)[N]8=CC=CC=C8C9=C3C=CC=C9;2,633148148;2,65;-0,016851852;-1,772777778;-1,78;0,007222222;1,134814815;1,15;-0,015185185;0,863888889;0,87;-0,006111111;-1,472222222;-1,5;0,027777778
Ir_24;CC1=CC=C2[N]([Ir+]3(C4=C5C=CC=C4)([N]6=CC=CC=C65)([N]7=C2C=CC(C)=C7)[N]8=CC=CC=C8C9=C3C=CC=C9)=C1;2,533148148;2,49;0,043148148;-1,622777778;-1,41;-0,212777778;1,344814815;1,35;-0,005185185;0,913888889;1,08;-0,166111111;-1,152222222;-1,14;-0,012222222
Ir_32;CC(C)(C)C(C=C1)=CC2=[N]1[Ir+]3([N]4=C5C=CC=C4)([N]6=CC=C(C(C)(C)C)C=C62)(C7=CC=CC=C75)[N]8=CC=CC=C8C9=C3C=CC=C9;2,603148148;2,17;0,433148148;-1,442777778;-1,51;0,067222222;1,314814815;1,21;0,104814815;1,163888889;0,66;0,503888889;-1,252222222;-0,96;-0,292222222
Ir_29;CC1=C(N)C=C2[N]([Ir+]3([N]4=C5C=CC=C4)(C6=CC=CC=C65)([N]7=C2C=C(N)C(C)=C7)[N]8=CC=CC=C8C9=C3C=CC=C9)=C1;2,633148148;2,64;-0,006851852;-1,912777778;-1,91;-0,002777778;1,114814815;1,14;-0,025185185;0,733888889;0,73;0,003888889;-1,492222222;-1,5;0,007777778
