id	smiles	n_atoms	n_frames
ex_0120	C1=CC=C2C(=C1)[O][Co-4]134([O]C5=CC=CC=C5[N+]1=CC1=[N+]3C=CN1)[N+]2=CC1=[N+]4C=CN1	45	9
ex_0121	CC(C)[N]1C2=CC=C([Se]C3=CC=CC=C3)C=CC2=[N+](C(C)C)[Zn-]1[CH3]	50	21
ex_0122	O=C(O)C1=CC=[N+]([Rh-3]([Cl])([Cl])([N+]2=CC=C(C(=O)O)C=C2)([N+]2=CC=C(C(=O)O)C=C2)[N+]2=CC=C(C(=O)O)C=C2)C=C1	59	21
ex_0123	[Br][Os-2]([Br])([Br])([Br])([S+]1CCCC1)[S+]1CCCC1	31	36
ex_0124	CN1C=C[N+]2=C1C(=O)C1=[N+](C=CN1C)[Fe-4]21([N]=C=[Se])([N]=C=[Se])[N+]2=C(C(=O)C3=[N+]1C=CN3C)N(C)C=C2	55	4
ex_0125	CC1=CC=[N+]([Ni-2]2([Cl])[N](C3=CC=CC=C3)C3=CC=CC=C3[N+]2(C)C)C(C)=C1	50	8
ex_0126	CC1=CC=[N+]2C(=C1)C1=CC(C)=CC=[N+]1[Zn-4]213([O]C2=C4C(=C(Br)C=C2Br)C=CC=[N+]41)[O]C1=C2C(=C(Br)C=C1Br)C=CC=[N+]23	61	18
ex_0127	CN1C=[N+]([Fe-3]([Cl])([Cl])([N+]2=CN(C)C(Cl)=C2)([N+]2=CN(C)C(Cl)=C2)[N+]2=CN(C)C(Cl)=C2)C=C1Cl	51	14
ex_0128	CC1=CC=CC(C)=C1[N+]#[C][Co-4]([C]#[N+]C1=C(C)C=CC=C1C)([C]#[N+]C1=C(C)C=CC=C1C)[C+]1N(C2=C(C(C)C)C=CC=C2C(C)C)C(C)(C)CC1(C)C	110	8
ex_0129	C1=CC=[As+]([W-6]([As+]2=CC=CC=C2)([As+]2=CC=CC=C2)([As+]2=CC=CC=C2)([As+]2=CC=CC=C2)[As+]2=CC=CC=C2)C=C1	67	19
ex_0130	[I][Pt-2]([I])([I])[Sb+]([C]1=CC=CC=C1)([C]1=CC=CC=C1)[C]1=CC=CC=C1	38	24
ex_0131	CCN1C=C[N+]([Co-4]([N]=C=S)([N]=C=S)([N+]2=CN(CC)C=C2)([N+]2=CN(CC)C=C2)[N+]2=CN(CC)C=C2)=C1	67	15
ex_0132	[N-]=[N+]=[N][Co-3]123[N]4C5=CC=CC=C5N=C4C[N+]1(CC1=[N+]2C2=CC=CC=C2N1)CC1=[N+]3C2=CC=CC=C2N1	55	10
ex_0133	CC1=CC=C2C=CC3=C4C2=[N+]1[Cu-2]1([N+]4=C(C)C=C3)[N+]2=C(C)C=CC3=CC=C4C=CC(C)=[N+]1C4=C32	57	12
ex_0134	C[As+]1(C)C2=CC=CC=C2[As+](C)(C)[Ru-2]1([Cl])([N]=O)([O][N+](=O)[O-])[O][N+](=O)[O-]	40	25
ex_0135	CCC1=[N+]2O[B-]3(C4=CC(Br)=CC(Br)=C4)O[N+]4=C(CC)C(CC)=[N+]5O[B-]6(C7=CC(Br)=CC(Br)=C7)O[N+](=C1CC)[Fe-4]2451[N+](=C(CC)C(CC)=[N+]1O6)O3	85	65
